wordId,Słowo ENG,Tłumaczenie PL (arkusz),Tłumaczenie PL (po poprawce)
"t1-p210-003","Admit","Przyjmować (np. Do szpitala, na uczelnię)","Przyjmować (np. do szpitala, na uczelnię)"
"t1-p213-006","Take sth off","Ściągać (np. Buty, ubranie)","Ściągać (np. buty, ubranie)"
"t1-p223-005","Kick","Kopać coś (np. Piłkę)","Kopać coś (np. piłkę)"
"t1-p225-006","Since","Od (np. Niedzieli); jako że","Od (np. niedzieli); jako że"
"t1-p226-003","Overnight stay","Pobyt z noclegiem; nocleg (np. W hotelu)","Pobyt z noclegiem; nocleg (np. w hotelu)"
"t1-p228-015","Strict","Surowy (np. Człowiek)","Surowy (np. człowiek)"
"t1-p231-005","Dead","Opustoszały lokal; koniec imprezy (np. W barze)","Opustoszały lokal; koniec imprezy (np. w barze)"
"t1-p233-014","Vote","Głos (np. Wyborczy)","Głos (np. wyborczy)"
"t1-p236-004","Stuff","Rzeczy (np. Moje rzeczy)","Rzeczy (np. moje rzeczy)"
"t1-p236-008","Effect","Działanie (np. Leku); efekt","Działanie (np. leku); efekt"
"t1-p238-014","Item","Pozycja (np. Na liście); produkt; rzecz","Pozycja (np. na liście); produkt; rzecz"
"t1-p243-008","Practice","Praktykować (np. Medycynę)","Praktykować (np. medycynę)"
"t1-p245-012","Landlord","Właściciel (np. Wynajmowanego mieszkania)","Właściciel (np. wynajmowanego mieszkania)"
"t1-p248-002","Unfair","Niesprawiedliwy (np. Wyrok); nieuczciwy","Niesprawiedliwy (np. wyrok); nieuczciwy"
"t1-p249-007","Go by","Mijać; przemijać (np. Czas)","Mijać; przemijać (np. czas)"
"t1-p251-005","Cso","Dyrektor ds. Sprzedaży (skrót)","Dyrektor ds. sprzedaży (skrót)"
"t1-p256-015","Policy","Polityka; zasady (np. Firmy)","Polityka; zasady (np. firmy)"
"t1-p264-004","In front of","Przed (kimś,czymś); naprzeciw","Przed (kimś, czymś); naprzeciw"
"t1-p264-010","Over","Nad (np. Przeskoczyć nad czymś)","Nad (np. przeskoczyć nad czymś)"
"t1-p265-006","To illustrate","By zobrazować (np. Argument)","By zobrazować (np. argument)"
"t1-p266-002","Respectful","Pełen szacunku I poważania","Pełen szacunku i poważania"
"t1-p267-015","Casual","Zwykły; codzienny (np. Ubrania)","Zwykły; codzienny (np. ubrania)"
"t1-p268-002","Call for","Wzywać (np. Pomoc)","Wzywać (np. pomoc)"
"t1-p277-003","Expire","Wygasać (np. Kontrakt)","Wygasać (np. kontrakt)"
"t1-p282-006","Cash","Zrealizować (np. Czek)","Zrealizować (np. czek)"
"t1-p294-005","Tan","Opalenizna (np. Po solarium)","Opalenizna (np. po solarium)"
"t1-p296-009","Load","Wczytywać (np. Dane)","Wczytywać (np. dane)"
"t1-p299-006","Bang!","Podkreślenie, że zrobiłem coś super (""Bang!)","Podkreślenie, że zrobiłem coś super (""Bang!"")"
"t1-p300-011","Spoil","Rozpieszczać (np. Dziecko, dziewczynę)","Rozpieszczać (np. dziecko, dziewczynę)"
"t1-p301-012","Excel","Górować; wyróżniać się (np. Wynikami)","Górować; wyróżniać się (np. wynikami)"
"t1-p312-008","Attract","Przyciągać; zwracać (np. Uwagę)","Przyciągać; zwracać (np. uwagę)"
"t1-p313-006","Call sb names","Wyzywać kogoś ( obrażać)","Wyzywać kogoś (obrażać)"
"t1-p315-009","Return","Zwrot (np. Ubrania)","Zwrot (np. ubrania)"
"t1-p332-003","Get on","Wsiadać (do środków masowej komunikacji np. Autobus, samolot)","Wsiadać (do środków masowej komunikacji np. autobus, samolot)"
"t1-p340-001","Instant","Natychmiastowy; błyskawiczny (np. Kawa)","Natychmiastowy; błyskawiczny (np. kawa)"
"t1-p340-008","Immediate","Pilny; bezpośredni (np. Niebezpieczeństwo)","Pilny; bezpośredni (np. niebezpieczeństwo)"
"t1-p343-001","Be in","Wchodzić w coś (np. Przedsięwzięcie)","Wchodzić w coś (np. przedsięwzięcie)"
"t1-p345-011","Backup","Wsparcie (kogoś, np. Policji)","Wsparcie (kogoś, np. policji)"
"t1-p353-007","Come up with","Wymyślić coś; wpaść na (np. Rozwiązanie problemu)","Wymyślić coś; wpaść na (np. rozwiązanie problemu)"
"t1-p355-008","Over and over again","W kółko I w kółko","W kółko i w kółko"
"t1-p359-011","Split","Dzielić się (np. Na mniejsze części, grupy)","Dzielić się (np. na mniejsze części, grupy)"
"t1-p361-007","Even so","Nawet jeśli (np. To prawda)","Nawet jeśli (np. to prawda)"
"t1-p365-014","Abbreviation","Skrót (np. Słowa, nazwy)","Skrót (np. słowa, nazwy)"
"t1-p366-006","Delicate","Delikatny (np. Potrawa)","Delikatny (np. potrawa)"
"t1-p367-013","Site","Teren (np. Wykopalisk)","Teren (np. wykopalisk)"
"t1-p368-006","Be off","Zepsuć się (np. Jedzenie)","Zepsuć się (np. jedzenie)"
"t1-p371-011","Host","Prowadzić (np. Program w tv)","Prowadzić (np. program w tv)"
"t1-p378-007","Recorder","Rejestrator (np. Dźwięku, video)","Rejestrator (np. dźwięku, video)"
"t1-p381-005","Works","Prace; roboty (np. Drogowe)","Prace; roboty (np. drogowe)"
"t1-p383-003","Be out","Zostać wydanym (np. O płycie, filmie)","Zostać wydanym (np. o płycie, filmie)"
"t1-p383-007","Let out","Wynajmować (komuś, np. Mieszkanie)","Wynajmować (komuś, np. mieszkanie)"
"t1-p383-008","Set up","Założyć; otworzyć (np. Firmę, organizację)","Założyć; otworzyć (np. firmę, organizację)"
"t1-p384-001","Vp","Wiceprezydent  (skrót)","Wiceprezydent (skrót)"
"t1-p394-011","Utilities","Media komunalne (np. Prąd, woda, itp.)","Media komunalne (np. prąd, woda, itp.)"
"t1-p400-001","Bosnia and herzegovina","Bośnia I hercegowina","Bośnia i Hercegowina"
"t1-p401-007","Owing to","Dzięki (np. Tobie); z powodu","Dzięki (np. tobie); z powodu"
"t1-p404-001","Ba","Lic. Nauk humanistycznych","Lic. nauk humanistycznych"
"t1-p404-002","Bsc","Lic. Nauk ścisłych","Lic. nauk ścisłych"
"t1-p404-007","Md","Lek. Med.","Lek. med."
"t1-p417-002","Bc","P.N.E.","P.n.e."
"t1-p417-003","Ce","N.E.","N.e."
"t1-p425-007","Back and forth","Tam I z powrotem","Tam i z powrotem"
"t1-p425-011","Outward","Na zewnątrz (np. Coś się otwiera)","Na zewnątrz (np. coś się otwiera)"
"t1-p425-012","To and fro","W tę I wewtę","W tę i we w tę"
"t1-p425-013","Up and down","W górę I w dół","W górę i w dół"
"t1-p433-008","Main","Główny (np. Droga)","Główny (np. droga)"
"t1-p435-005","Response","Odpowiedź (bardziej formalne, częściej używane w listach I ankietach)","Odpowiedź (bardziej formalne, częściej używane w listach i ankietach)"
"t1-p440-004","Hot","Gorący (np. Hit)","Gorący (np. hit)"
"t1-p443-007","Anyhow","I tak I tak; w każdym razie","I tak i tak; w każdym razie"
"t1-p446-013","Layout","Format (edytorsko, rozkład np. Strony)","Format (edytorsko, rozkład np. strony)"
"t1-p452-013","Basis","Podstawa; baza (np. W badaniach)","Podstawa; baza (np. w badaniach)"
"t1-p453-007","Wrap","Owijać; zapakować (np. W papier)","Owijać; zapakować (np. w papier)"
"t1-p453-013","Parcel","Przygotowywać przesyłkę;pakować","Przygotowywać przesyłkę; pakować"
"t1-p455-003","Landmark","Punkt orientacyjny; ważne miejsce (np. Historyczne)","Punkt orientacyjny; ważne miejsce (np. historyczne)"
"t1-p461-015","Dull","Tępy (np. Nóż albo ból)","Tępy (np. nóż albo ból)"
"t1-p462-002","I dig it","I kręci mnie to; I super","I kręci mnie to; i super"
"t1-p468-009","Canceled","Skreślony ( o wszystkim czego nie lubisz)","Skreślony (o wszystkim czego nie lubisz)"
"t1-p470-014","Replay","Powtórka (np. Meczu, filmu, nagrania)","Powtórka (np. meczu, filmu, nagrania)"
"t1-p472-001","Fill in sth","Wypełniać coś (np. Formularz)","Wypełniać coś (np. formularz)"
"t1-p479-004","Flunk","Oblać (np. Egzamin)","Oblać (np. egzamin)"
"t1-p482-009","Aside from","Pomijając (np. Fakt)","Pomijając (np. fakt)"
"t1-p487-006","Submit","Wysłać; składać (np. Aplikację, artykuł)","Wysłać; składać (np. aplikację, artykuł)"
"t1-p487-008","Broadcast","Emitować; nadawać (np. Sygnał, audycje, program)","Emitować; nadawać (np. sygnał, audycje, program)"
"t1-p488-006","Takeover","Przejęcie (np. Firmy); zajęcie (np. Terenu)","Przejęcie (np. firmy); zajęcie (np. terenu)"
"t1-p488-010","Reserve","Rezerwa (np. Finansowa)","Rezerwa (np. finansowa)"
"t1-p490-011","Initiate","Inicjować (np. Protokoły, program)","Inicjować (np. protokoły, program)"
"t1-p491-001","Give sth back","Przywrócić coś (np. Wolność)","Przywrócić coś (np. wolność)"
"t1-p494-004","Verification","Weryfikacja;potwierdzenie","Weryfikacja; potwierdzenie"
"t1-p498-001","Keep up with","Nadążać (np. Za kimś)","Nadążać (np. za kimś)"
"t1-p498-003","Stay off","Unikać; trzymać się z dala (np. Tematu)","Unikać; trzymać się z dala (np. tematu)"
"t1-p498-005","Come out","Wychodzić (np. Na jaw, na zdjęciu)","Wychodzić (np. na jaw, na zdjęciu)"
"t1-p498-006","Come up","Nadarzyć się (np. Okazja)","Nadarzyć się (np. okazja)"
"t1-p502-003","Zero chill","Gdy ktoś przesadza, nie panuje nad sobą I jest sztywny","Gdy ktoś przesadza, nie panuje nad sobą i jest sztywny"
"t1-p504-004","Lemme","Daj mi (np. Coś sprawdzić) (slang)","Daj mi (np. coś sprawdzić) (slang)"
"t1-p507-008","Spoil","Zepsuć (zmarnować np. Jedzenie)","Zepsuć (zmarnować np. jedzenie)"
"t1-p515-002","Justify","Uzasadniać; usprawiedliwiać (np. Czyn)","Uzasadniać; usprawiedliwiać (np. czyn)"
"t1-p515-009","Disclose","Wyjawić; ujawniać (np. Sekret)","Wyjawić; ujawniać (np. sekret)"
"t1-p519-004","Undertake","Przedsięwziąć;podjąć się realizacji","Przedsięwziąć; podjąć się realizacji"
"t1-p519-006","Capture","Uchwycić (np. Schwytać zakładnika; także chwycić sens)","Uchwycić (np. schwytać zakładnika; także chwycić sens)"
"t1-p522-011","Runway","Pas startowy (samolotu); wybieg (np. Dla modelek)","Pas startowy (samolotu); wybieg (np. dla modelek)"
"t1-p530-010","X-factor","Cecha, która sprawia, że jest się wyjątkowym I pożądanym","Cecha, która sprawia, że jest się wyjątkowym i pożądanym"
"t1-p532-002","Maternity","Okres ciąży I macierzyństwa","Okres ciąży i macierzyństwa"
"t1-p537-009","Put out sth","Wynosić coś (np. Śmieci)","Wynosić coś (np. śmieci)"
"t1-p539-003","Associate","Kojarzyć coś z czymś; wiązać (np. Fakty)","Kojarzyć coś z czymś; wiązać (np. fakty)"
"t1-p542-006","Commute","Dojeżdżać do (np. Pracy, szkoły)","Dojeżdżać do (np. pracy, szkoły)"
"t1-p545-008","Craving","Łaknienie;ochota na coś","Łaknienie; ochota na coś"
"t1-p547-001","Customize","Dostosowywać  (np. Do konkretnej osoby)","Dostosowywać (np. do konkretnej osoby)"
"t1-p547-002","Insert","Wstawić (np. Płytę)","Wstawić (np. płytę)"
"t1-p547-008","Harness","Ujarzmić (np. Technologię)","Ujarzmić (np. technologię)"
"t1-p548-001","Committed","Oddany (np. Przedsięwzięciu)","Oddany (np. przedsięwzięciu)"
"t1-p550-001","Trade show","Targi (np. Turystyczne)","Targi (np. turystyczne)"
"t1-p551-010","Soothe","Uspokajać (np. Dziecko)","Uspokajać (np. dziecko)"
"t1-p554-015","Fun and games","Gry I zabawy","Gry i zabawy"
"t1-p556-001","Matching","Dobrany (np. W tym samym kolorze, wzorze)","Dobrany (np. w tym samym kolorze, wzorze)"
"t1-p561-012","Perennial","Nieprzemijający;odwieczny","Nieprzemijający; odwieczny"
"t1-p566-001","Put sth on","Włączać coś (np. Muzykę, telewizję)","Włączać coś (np. muzykę, telewizję)"
"t1-p566-005","Go off","Włączyć się (np. Budzik)","Włączyć się (np. budzik)"
"t1-p567-010","Remark","Spostrzeżenie; uwaga (np. Na marginesie)","Spostrzeżenie; uwaga (np. na marginesie)"
"t1-p570-005","Cheating","Oszukiwanie (np. W grze)","Oszukiwanie (np. w grze)"
"t1-p572-004","Paternity","Ojcowski (np. Urlop)","Ojcowski (np. urlop)"
"t1-p576-007","Cheater","Oszust (np. W grze)","Oszust (np. w grze)"
"t1-p578-011","Palatable","Smakowity; smaczny (np. Wino, ser)","Smakowity; smaczny (np. wino, ser)"
"t1-p584-002","Bent","Podrabiany (np. Ciuch)","Podrabiany (np. ciuch)"
"t1-p588-006","Thereby","Tym samym ( prawne)","Tym samym (prawne)"
"t1-p589-006","On behalf of","W imieniu ( czyimś)","W imieniu (czyimś)"
"t1-p589-010","Pursuant to","Zgodnie z ( prawnie)","Zgodnie z (prawnie)"
"t1-p591-005","Undertake","Przedsięwziąć;podjąć się realizacji","Przedsięwziąć; podjąć się realizacji"
"t1-p591-007","Capture","Uchwycić (np. Schwytać zakładnika; także chwycić sens)","Uchwycić (np. schwytać zakładnika; także chwycić sens)"
"t1-p593-014","Supreme","Najwyższy (np. Sąd); naczelny","Najwyższy (np. sąd); naczelny"
"t1-p595-006","Off-road","Terenowy (np. Samochód)","Terenowy (np. samochód)"
"t1-p595-010","Intense","Bardzo silny; intensywny (np. Ból)","Bardzo silny; intensywny (np. ból)"
"t1-p596-002","Cut out","Zgasnąć; zaciąć się (np. Silnik)","Zgasnąć; zaciąć się (np. silnik)"
"t1-p596-003","Burn up","Spalać (np. Paliwo, kalorie)","Spalać (np. paliwo, kalorie)"
"t1-p596-006","Draw in","Przyjechać; przybyć; wjechać (np. Na peron)","Przyjechać; przybyć; wjechać (np. na peron)"
"t1-p596-008","Go down","Stracić powietrze (np. W oponie)","Stracić powietrze (np. w oponie)"
"t1-p599-007","Facility","Obiekt (np. Sportowy); placówka","Obiekt (np. sportowy); placówka"
"t1-p603-004","Grip","Chwytać (coś ręką I trzymać)","Chwytać (coś ręką i trzymać)"
"t1-p604-009","Bring down","Lądować; sprowadzać coś w dół (np. Samolot)","Lądować; sprowadzać coś w dół (np. samolot)"
"t1-p616-005","Flex","Napinać; spinać (mięśnie); zginać; poruszyć (np. Palcami)","Napinać; spinać (mięśnie); zginać; poruszyć (np. palcami)"
"t1-p618-001","Come up","Wzejść (np. Na niebie)","Wzejść (np. na niebie)"
"t1-p618-007","Take up","Podejmować (np. Nowe hobby)","Podejmować (np. nowe hobby)"
"t1-p622-005","Stick out","Wystawać skądś; odstawać; wysuwać do przodu (np. Język)","Wystawać skądś; odstawać; wysuwać do przodu (np. język)"
"t1-p622-009","Wash up","Myć ręce I twarz","Myć ręce i twarz"
"t1-p638-004","Hang sth out","Rozwiesić (np. Pranie)","Rozwiesić (np. pranie)"
"t1-p639-006","Underlying","Leżący u podstaw; nadrzędny,; główny","Leżący u podstaw; nadrzędny; główny"
"t1-p645-009","Typeractive","Osoba zbyt wylewna w wiadomościach tekstowych I e-mailach","Osoba zbyt wylewna w wiadomościach tekstowych i e-mailach"
"t1-p646-006","Eligible","Spełniający wymagania; pożądany (np. Kawaler)","Spełniający wymagania; pożądany (np. kawaler)"
"t1-p646-008","Indispensable","Niezbędny; niezastąpiony;konieczny","Niezbędny; niezastąpiony; konieczny"
"t1-p664-006","Stick around","Być w pobliżu; nigdzie nie Iść","Być w pobliżu; nigdzie nie iść"
"t1-p665-006","Damsel","Panienka;dama","Panienka; dama"
"t1-p672-002","Earned","Zasłużony (np. O czymś co się dostało)","Zasłużony (np. o czymś co się dostało)"
"t1-p672-012","Fixed","Ustalony (np. O cenie); stały; naprawiony","Ustalony (np. o cenie); stały; naprawiony"
"t1-p676-006","Household","Domowy (np. Przedmiot)","Domowy (np. przedmiot)"
"t1-p679-002","Go up","Wzrastać; Iść w górę","Wzrastać; iść w górę"
"t1-p679-004","Bring down","Zmniejszać coś; obniżać coś (np. Koszty, wydatki)","Zmniejszać coś; obniżać coś (np. koszty, wydatki)"
"t1-p679-005","Come down","Spadać; obniżać się (np. Cena)","Spadać; obniżać się (np. cena)"
"t1-p679-009","Blow up","Powiększać (np. Zdjęcie)","Powiększać (np. zdjęcie)"
"t1-p679-010","Keep sth down","Utrzymać na niskim poziomie (np. Ceny, hałas)","Utrzymać na niskim poziomie (np. ceny, hałas)"
"t1-p680-013","Runway","Pas startowy (samolotu); wybieg (np. Dla modelek)","Pas startowy (samolotu); wybieg (np. dla modelek)"
"t1-p682-008","Come up to sth","Spełniać coś (np. Oczekiwania)","Spełniać coś (np. oczekiwania)"
"t1-p687-015","Strap","Podpinać; przywiązać (np. Paskiem, pasami)","Podpinać; przywiązać (np. paskiem, pasami)"
"t1-p690-007","Fluffy","Puszysty (np. Zwierzę)","Puszysty (np. zwierzę)"
"t1-p692-002","Songwriting","Pisanie piosenek (tekstów I muzyki)","Pisanie piosenek (tekstów i muzyki)"
"t1-p692-012","Screenplay","Scenariusz (np. Do filmu, przedstawienia)","Scenariusz (np. do filmu, przedstawienia)"
"t1-p696-001","Outdoor","Na świeżym powietrzu (na zew. Budynku)","Na świeżym powietrzu (na zew. budynku)"
"t1-p696-002","Indoor","Domowy; kryty (wew. Budynku)","Domowy; kryty (wew. budynku)"
"t1-p700-010","Scarf out","Jeść szybko I dużo (napychać się, żreć)","Jeść szybko i dużo (napychać się, żreć)"
"t1-p701-005","Possessed","Opętany (np. Przez demona)","Opętany (np. przez demona)"
"t1-p702-007","Knock out","Wytrącać coś (np. Komuś z ręki)","Wytrącać coś (np. komuś z ręki)"
"t1-p708-003","Hijack","Porwać; uprowadzać (np. Samochód, samolot)","Porwać; uprowadzać (np. samochód, samolot)"
"t1-p710-001","Dig","Kopać w czymś (np. W ziemi)","Kopać w czymś (np. w ziemi)"
"t1-p710-004","Raise","Podnieść (dosłownie I w przenośni)","Podnieść (dosłownie i w przenośni)"
"t1-p710-006","Haul","Wlec; ciągnąć coś (wolno I z trudnością)","Wlec; ciągnąć coś (wolno i z trudnością)"
"t1-p713-010","Leathern","Skórzany (w literaturze I poezji)","Skórzany (w literaturze i poezji)"
"t1-p715-006","Age","Starzeć się; dojrzewać (wino I inne produkty)","Starzeć się; dojrzewać (wino i inne produkty)"
"t1-p715-015","Age","Starzeć się; dojrzewać (wino I inne produkty)","Starzeć się; dojrzewać (wino i inne produkty)"
"t1-p717-006","Fourth wall","Czwarta ściana (w filmie I sztuce)","Czwarta ściana (w filmie i sztuce)"
"t1-p719-010","Be in","Być na miejscu (np. W pracy)","Być na miejscu (np. w pracy)"
"t1-p720-005","Acid","Kwasowy; kwaśny (np. Deszcz)","Kwasowy; kwaśny (np. deszcz)"
"t1-p720-015","Acid","Kwasowy; kwaśny (np. Deszcz)","Kwasowy; kwaśny (np. deszcz)"
"t1-p735-001","Secure","Zabezpieczać (np. Przyszłość, miejsce)","Zabezpieczać (np. przyszłość, miejsce)"
"t1-p735-002","Operate","Obsługiwać (np. Sprzęt)","Obsługiwać (np. sprzęt)"
"t1-p738-005","Walk sth off","Rozchodzić coś (np. Ból, cierpienie)","Rozchodzić coś (np. ból, cierpienie)"
"t1-p745-004","Unbeaten","Niepobity (np. Wynik, gracz); niepokonany","Niepobity (np. wynik, gracz); niepokonany"
"t1-p746-008","Irritated","Podrażniony (np. Skóra); rozdrażniony","Podrażniony (np. skóra); rozdrażniony"
"t1-p754-001","Cut off","Wyłączyć (np. Ogrzewanie); odciąć coś","Wyłączyć (np. ogrzewanie); odciąć coś"
"t1-p755-008","Plain","Jednolity; gładki (np. Materiał)","Jednolity; gładki (np. materiał)"
"t1-p755-009","Utter","Kompletny; totalny (np. Kompletny głupiec)","Kompletny; totalny (np. kompletny głupiec)"
"t1-p755-010","Would-be","Niedoszły (np. Mąż); rzekomy","Niedoszły (np. mąż); rzekomy"
"t1-p755-014","Apparent","Pozorny; widoczny;oczywisty","Pozorny; widoczny; oczywisty"
"t1-p759-009","Mingle","Mieszać (się); zmieszać (się np. Zapachy, w tłumie)","Mieszać (się); zmieszać (się np. zapachy, w tłumie)"
"t1-p760-014","Gigantic","Gigantyczny;ogromny","Gigantyczny; ogromny"
"t1-p770-006","Embrace","Przyjmować; akceptować entuzjastycznie (np. Siebie; nowe idee)","Przyjmować; akceptować entuzjastycznie (np. siebie; nowe idee)"
"t1-p770-014","Presume","Uznawać (kogoś za np. Zaginionego); zakładać","Uznawać (kogoś za np. zaginionego); zakładać"
"t1-p775-013","Assigned","Przypisany (np. Do zadania)","Przypisany (np. do zadania)"
"t1-p776-008","Die out","Wymierać; zanikać (np. Dynastia)","Wymierać; zanikać (np. dynastia)"
"t1-p776-009","Put down","Uśpić (np. Zwierzę)","Uśpić (np. zwierzę)"
"t1-p777-012","Preview","Podgląd; zapowiedź (np. Filmu, serialu)","Podgląd; zapowiedź (np. filmu, serialu)"
"t1-p783-007","Let out","Wydawać; emitować (np. Światło, dźwięk)","Wydawać; emitować (np. światło, dźwięk)"
"t1-p783-009","Block sth out","Zablokować (np. Światło, wspomnienia); odciąć się od czegoś","Zablokować (np. światło, wspomnienia); odciąć się od czegoś"
"t1-p786-001","Ripe","Dojrzały (np. Owoc); gotowy","Dojrzały (np. owoc); gotowy"
"t1-p791-001","Put sth up","Rozwiesić coś; wywiesić coś (np. Obraz)","Rozwiesić coś; wywiesić coś (np. obraz)"
"t1-p791-005","Pass out","Rozdawać coś grupie (np. Ulotki)","Rozdawać coś grupie (np. ulotki)"
"t1-p791-008","Draw sth up","Sporządzać coś (np. Pismo)","Sporządzać coś (np. pismo)"
"t1-p793-006","Celestial","Podniebny;niebiański, niebieski","Podniebny; niebiański, niebieski"
"t1-p795-003","Run around","Biegać w tę I z powrotem; być bardzo zajętym","Biegać w tę i z powrotem; być bardzo zajętym"
"t1-p796-005","Go around","Krążyć po czymś (np. Opowieści, plotki)","Krążyć po czymś (np. opowieści, plotki)"
"t1-p796-006","Go around","Rozprzestrzeniać się po czymś (np. Choroba)","Rozprzestrzeniać się po czymś (np. choroba)"
"t1-p798-014","Rehearse","Odbywać próby (np. Teatralne, muzyczne)","Odbywać próby (np. teatralne, muzyczne)"
"t1-p801-013","Wasteful","Rozrzutny;nieoszczędny","Rozrzutny; nieoszczędny"
"t1-p804-001","Reflect","Odbijać (np. Światło)","Odbijać (np. światło)"
"t1-p805-003","Pick up","Załapywać; podłapywać coś (np. Język)","Załapywać; podłapywać coś (np. język)"
"t1-p805-006","Take sth up","Podchwycić; załapać coś (np. Temat)","Podchwycić; załapać coś (np. temat)"
"t1-p807-004","Spin-off","Produkt uboczny; inna wersja czegoś pierwotnego (np. Filmu)","Produkt uboczny; inna wersja czegoś pierwotnego (np. filmu)"
"t1-p807-010","Scene","Scena (np. W filmie); awantura","Scena (np. w filmie); awantura"
"t1-p813-007","Heavyfoot","Ciężka noga (kierowca, który jeździ bardzo szybko I nieostrożnie)","Ciężka noga (kierowca, który jeździ bardzo szybko i nieostrożnie)"
"t1-p814-013","Gimmick","Chwyt (np. Reklamowy)","Chwyt (np. reklamowy)"
"t1-p820-001","Come on","Zaczynać się (np. Piosenka, serial)","Zaczynać się (np. piosenka, serial)"
"t1-p821-013","Admit","Przyjmować (np. Do szpitala, na uczelnię)","Przyjmować (np. do szpitala, na uczelnię)"
"t1-p823-014","Discredit","Dyskredytować; podważyć (np. Teorię)","Dyskredytować; podważyć (np. teorię)"
"t1-p825-003","Go off","Przestać działać (np. Maszyna)","Przestać działać (np. maszyna)"
"t1-p825-008","Go down","Przegrać (np. Zawody, wybory)","Przegrać (np. zawody, wybory)"
"t1-p829-006","Detain","Zatrzymywać kogoś (I nie pozwolić mu odejść)","Zatrzymywać kogoś (i nie pozwolić mu odejść)"
