Lp,Poziom,Tom,Rozdział,Jednostka,Nazwa paczki,Słowo ENG,Tłumaczenie PL,Zdanie ENG,Zdanie PL
20,1,Tom I,Rozdział I,Rzeczowniki,Miasto,Street,Ulica,Cross the street carefully.,Przejdź przez ulicę ostrożnie.
21,1,Tom I,Rozdział I,Przymiotniki,"Dzięki, to miłe",Intelligent,Inteligentny,She's incredibly intelligent.,Ona jest niesamowicie inteligentna.
22,1,Tom I,Rozdział I,Przymiotniki,"Dzięki, to miłe",Nice,Ładny; miły,That's really nice of you.,To bardzo miłe z twojej strony.
23,1,Tom I,Rozdział I,Przymiotniki,"Dzięki, to miłe",Funny,Śmieszny; zabawny,You're actually really funny.,Jesteś naprawdę zabawny.
24,1,Tom I,Rozdział I,Przymiotniki,"Dzięki, to miłe",New,Nowy,I bought a new phone.,Kupiłem nowy telefon.
25,1,Tom I,Rozdział I,Przymiotniki,"Dzięki, to miłe",Best,Najlepszy,You're the best friend ever.,Jesteś najlepszym przyjacielem.
26,1,Tom I,Rozdział I,Przymiotniki,"Dzięki, to miłe",Awesome,Świetny,This trip was awesome.,Ta podróż była świetna.
27,1,Tom I,Rozdział I,Przymiotniki,"Dzięki, to miłe",Pretty,Śliczny,What a pretty dress.,Jaka śliczna sukienka.
28,1,Tom I,Rozdział I,Przymiotniki,"Dzięki, to miłe",Young,Młody,She looks so young.,Ona wygląda tak młodo.
29,1,Tom I,Rozdział I,Przymiotniki,"Dzięki, to miłe",Beautiful,Piękny,You look beautiful tonight.,Wyglądasz dziś pięknie.
30,1,Tom I,Rozdział I,Przymiotniki,"Dzięki, to miłe",Hot,Gorący,It's really hot outside.,Na zewnątrz jest naprawdę gorąco.
31,1,Tom I,Rozdział I,Rzeczowniki,Napoje,Tea,Herbata,Would you like some tea?,Chciałbyś herbaty?
32,1,Tom I,Rozdział I,Rzeczowniki,Napoje,Coffee,Kawa,I need my morning coffee.,Potrzebuję porannej kawy.
33,1,Tom I,Rozdział I,Rzeczowniki,Napoje,Latte,Kawa z mlekiem,I'll order a latte.,Zamówię kawę z mlekiem.
34,1,Tom I,Rozdział I,Rzeczowniki,Napoje,Milk,Mleko,Add a splash of milk.,Dodaj odrobinę mleka.
35,1,Tom I,Rozdział I,Rzeczowniki,Napoje,Drink,Napój,What would you like to drink?,Co chciałbyś do picia?
36,1,Tom I,Rozdział I,Rzeczowniki,Napoje,Soda,Napój gazowany,I don't drink soda anymore.,Nie piję już napojów gazowanych.
37,1,Tom I,Rozdział I,Rzeczowniki,Napoje,Juice,Sok,"Fresh orange juice, please.",Poproszę świeży sok pomarańczowy.
38,1,Tom I,Rozdział I,Rzeczowniki,Napoje,Wine,Wino,Would you like some wine?,Chciałbyś trochę wina?
39,1,Tom I,Rozdział I,Rzeczowniki,Napoje,Water,Woda,Can I get some water?,Mogę prosić o wodę?
40,1,Tom I,Rozdział I,Rzeczowniki,Napoje,Mineral water,Woda mineralna,Still or sparkling mineral water?,Woda mineralna gazowana czy niegazowana?
41,1,Tom I,Rozdział I,Czasowniki,Ruch I bezczynność,Come,Przychodzić,Come here for a second.,Chodź tu na chwilę.
42,1,Tom I,Rozdział I,Czasowniki,Ruch I bezczynność,Drive,Prowadzić samochód,I drive to work daily.,Codziennie jeżdżę do pracy samochodem.
43,1,Tom I,Rozdział I,Czasowniki,Ruch I bezczynność,Go,Iść; jechać,Let's go outside.,Chodźmy na zewnątrz.
44,1,Tom I,Rozdział I,Czasowniki,Ruch I bezczynność,Jump,Skakać,The kids love to jump.,Dzieci uwielbiają skakać.
45,1,Tom I,Rozdział I,Czasowniki,Ruch I bezczynność,Move,Ruszać ,"Don't move, stay still.","Nie ruszaj się, stój spokojnie."
46,1,Tom I,Rozdział I,Czasowniki,Ruch I bezczynność,Run,Biegać,I run every morning.,Biegam każdego ranka.
47,1,Tom I,Rozdział I,Czasowniki,Ruch I bezczynność,Sit,Siedzieć,Please sit down.,Proszę usiądź.
48,1,Tom I,Rozdział I,Czasowniki,Ruch I bezczynność,Stop,Zatrzymywać; przestać,Stop right there!,Zatrzymaj się tam!
49,1,Tom I,Rozdział I,Czasowniki,Ruch I bezczynność,Walk,Iść pieszo,We walked for hours.,Szliśmy godzinami.
50,1,Tom I,Rozdział I,Czasowniki,Ruch I bezczynność,Start,Startować,Let's start the meeting.,Zacznijmy spotkanie.
51,1,Tom I,Rozdział I,Rzeczowniki,Ubrania,Underwear,Bielizna,Pack extra underwear.,Spakuj zapasową bieliznę.
52,1,Tom I,Rozdział I,Rzeczowniki,Ubrania,Shoes,Buty,Take off your shoes.,Zdejmij buty.
53,1,Tom I,Rozdział I,Rzeczowniki,Ubrania,Jeans,Dżinsy,These jeans fit perfectly.,Te dżinsy pasują idealnie.
54,1,Tom I,Rozdział I,Rzeczowniki,Ubrania,Shirt,Koszula,Tuck in your shirt.,Wpuść koszulę w spodnie.
55,1,Tom I,Rozdział I,Rzeczowniki,Ubrania,Glasses,Okulary,I need my glasses.,Potrzebuję moich okularów.
56,1,Tom I,Rozdział I,Rzeczowniki,Ubrania,Socks,Skarpetki,Put on warm socks.,Załóż ciepłe skarpetki.
57,1,Tom I,Rozdział I,Rzeczowniki,Ubrania,Pants,Spodnie; majtki,These pants are too tight.,Te spodnie są za ciasne.
58,1,Tom I,Rozdział I,Rzeczowniki,Ubrania,T-shirt,T-shirt,I bought a plain t-shirt.,Kupiłem zwykły t-shirt.
59,1,Tom I,Rozdział I,Rzeczowniki,Ubrania,Bag,Torebka; torba,"Grab your bag, let's go.","Weź swoją torbę, chodźmy."
60,1,Tom I,Rozdział I,Rzeczowniki,Ubrania,Clothes,Ubrania,Fold the clean clothes.,Poskładaj czyste ubrania.
61,1,Tom I,Rozdział I,Rzeczowniki,Podróże,Baggage,Bagaż (jako zawartość),Where's the baggage claim?,Gdzie jest odbiór bagażu?
62,1,Tom I,Rozdział I,Rzeczowniki,Podróże,Luggage,Bagaż (jako przedmiot),My luggage got lost.,Mój bagaż się zgubił.
63,1,Tom I,Rozdział I,Rzeczowniki,Podróże,Ticket,Bilet,Show me your ticket.,Pokaż mi swój bilet.
64,1,Tom I,Rozdział I,Rzeczowniki,Podróże,Guest,Gość,We have a guest tonight.,Mamy dziś gościa.
65,1,Tom I,Rozdział I,Rzeczowniki,Podróże,Map,Mapa,Let's check the map.,Sprawdźmy mapę.
66,1,Tom I,Rozdział I,Rzeczowniki,Podróże,Passport,Paszport,Don't forget your passport.,Nie zapomnij paszportu.
67,1,Tom I,Rozdział I,Rzeczowniki,Podróże,Reservation,Rezerwacja,I made a reservation.,Zrobiłem rezerwację.
68,1,Tom I,Rozdział I,Rzeczowniki,Podróże,Tourist,Turysta,I felt like a tourist.,Czułem się jak turysta.
69,1,Tom I,Rozdział I,Rzeczowniki,Podróże,Holiday,Wakacje (często w okresie świątecznym),We're planning a holiday.,Planujemy wakacje.
70,1,Tom I,Rozdział I,Rzeczowniki,Podróże,Vacation,Wakacje (urlop),I need a vacation badly.,Bardzo potrzebuję wakacji.
71,1,Tom I,Rozdział I,Skróty,Witaj w świecie skrótów,Asap,"Tak szybko, jak to możliwe",Send it to me ASAP.,Wyślij mi to jak najszybciej.
72,1,Tom I,Rozdział I,Skróty,Witaj w świecie skrótów,Btw,Przy okazji ,"BTW, I love your haircut.","Przy okazji, uwielbiam twoją fryzurę."
73,1,Tom I,Rozdział I,Skróty,Witaj w świecie skrótów,Cu,Dozo,CU tomorrow!,Do zobaczenia jutro!
74,1,Tom I,Rozdział I,Skróty,Witaj w świecie skrótów,Fyi,Do twojej wiadomości ,"FYI, the meeting moved.","Do twojej wiadomości, spotkanie się przesunęło."
75,1,Tom I,Rozdział I,Skróty,Witaj w świecie skrótów,K,Okej,"K, see you there.","Okej, do zobaczenia tam."
76,1,Tom I,Rozdział I,Skróty,Witaj w świecie skrótów,Omg,O mój boże,"OMG, I can't believe it!","O mój Boże, nie mogę w to uwierzyć!"
77,1,Tom I,Rozdział I,Skróty,Witaj w świecie skrótów,Plz,Plis,PLZ answer my message.,"Proszę, odpowiedz na moją wiadomość."
78,1,Tom I,Rozdział I,Skróty,Witaj w świecie skrótów,Thx,Dzięks,THX for the help!,Dzięki za pomoc!
79,1,Tom I,Rozdział I,Skróty,Witaj w świecie skrótów,Lol,Śmiać się na głos ,"LOL, that's hilarious.","Pęknę ze śmiechu, to jest zabawne."
80,1,Tom I,Rozdział I,Skróty,Witaj w świecie skrótów,Xoxo,Buziaki i uściski,"See you soon, XOXO.","Do zobaczenia wkrótce, buziaki."
81,1,Tom I,Rozdział I,Rzeczowniki,Mile widziane,Ambition,Ambicja,I admire your ambition.,Podziwiam twoją ambicję.
82,1,Tom I,Rozdział I,Rzeczowniki,Mile widziane,Humor,Humor,He has a great sense of humor.,On ma świetne poczucie humoru.
83,1,Tom I,Rozdział I,Rzeczowniki,Mile widziane,Love,Miłość,I love my family.,Kocham moją rodzinę.
84,1,Tom I,Rozdział I,Rzeczowniki,Mile widziane,Hope,Nadzieja,Never lose hope.,Nigdy nie trać nadziei.
85,1,Tom I,Rozdział I,Rzeczowniki,Mile widziane,Friendship,Przyjaźń,Our friendship means a lot.,Nasza przyjaźń wiele znaczy.
86,1,Tom I,Rozdział I,Rzeczowniki,Mile widziane,Respect,Szacunek,Treat others with respect.,Traktuj innych z szacunkiem.
87,1,Tom I,Rozdział I,Rzeczowniki,Mile widziane,Luck,Szczęście (fart),Good luck tomorrow!,Powodzenia jutro!
88,1,Tom I,Rozdział I,Rzeczowniki,Mile widziane,Happiness,Szczęście (uczucie),Money can't buy happiness.,Pieniądze nie kupią szczęścia.
89,1,Tom I,Rozdział I,Rzeczowniki,Mile widziane,Smile,Uśmiech,She has a warm smile.,Ona ma ciepły uśmiech.
90,1,Tom I,Rozdział I,Rzeczowniki,Mile widziane,Fun,Zabawa,We had so much fun.,Świetnie się bawiliśmy.
91,1,Tom I,Rozdział I,Czasowniki,Biznes,Change,Zmieniać,I need to change my plans.,Muszę zmienić swoje plany.
92,1,Tom I,Rozdział I,Czasowniki,Biznes,Cost,Kosztować,How much does it cost?,Ile to kosztuje?
93,1,Tom I,Rozdział I,Czasowniki,Biznes,Earn,Zarabiać,I earn a decent salary.,Zarabiam przyzwoitą pensję.
94,1,Tom I,Rozdział I,Czasowniki,Biznes,Buy,Kupować,I want to buy a car.,Chcę kupić samochód.
95,1,Tom I,Rozdział I,Czasowniki,Biznes,Finish,Skończyć,Let's finish this project.,Skończmy ten projekt.
96,1,Tom I,Rozdział I,Czasowniki,Biznes,Pay,Płacić,I'll pay for dinner.,Zapłacę za kolację.
97,1,Tom I,Rozdział I,Czasowniki,Biznes,Plan,Planować,We plan to move soon.,Planujemy się wkrótce przeprowadzić.
98,1,Tom I,Rozdział I,Czasowniki,Biznes,Spend,Wydawać pieniądze,Don't spend it all.,Nie wydawaj tego wszystkiego.
99,1,Tom I,Rozdział I,Czasowniki,Biznes,Wait,Czekać,Wait for me outside.,Poczekaj na mnie na zewnątrz.
100,1,Tom I,Rozdział I,Czasowniki,Biznes,Work,Pracować,I work from home.,Pracuję z domu.
101,1,Tom I,Rozdział II,Czasowniki,Czasowniki 2,Believe,Wierzyć,I believe in you.,Wierzę w ciebie.
102,1,Tom I,Rozdział II,Czasowniki,Czasowniki 2,Check,Sprawdzać,Check your email.,Sprawdź swoją pocztę.
103,1,Tom I,Rozdział II,Czasowniki,Czasowniki 2,Decide,Decydować,You need to decide now.,Musisz teraz zdecydować.
104,1,Tom I,Rozdział II,Czasowniki,Czasowniki 2,Hope,Mieć nadzieję,I hope you're okay.,"Mam nadzieję, że wszystko w porządku."
105,1,Tom I,Rozdział II,Czasowniki,Czasowniki 2,Know,Wiedzieć; znać,I know exactly how you feel.,"Wiem dokładnie, jak się czujesz."
106,1,Tom I,Rozdział II,Czasowniki,Czasowniki 2,Like,Lubić,I really like this song.,Naprawdę lubię tę piosenkę.
107,1,Tom I,Rozdział II,Czasowniki,Czasowniki 2,Love,Kochać; uwielbiać,I love spending time with you.,Uwielbiam spędzać z tobą czas.
108,1,Tom I,Rozdział II,Czasowniki,Czasowniki 2,Think,Myśleć; uważać że,What do you think?,Co myślisz?
109,1,Tom I,Rozdział II,Czasowniki,Czasowniki 2,Understand,Rozumieć,I don't understand this.,Nie rozumiem tego.
110,1,Tom I,Rozdział II,Czasowniki,Czasowniki 2,Want,Chcieć,What do you want for dinner?,Co chcesz na obiad?
111,1,Tom I,Rozdział II,Slang,Slang 1,Badass,Kozak; twardziel,That was a badass move.,To był odjazdowy ruch.
112,1,Tom I,Rozdział II,Slang,Slang 1,Bro,Bratku,"Thanks, bro!","Dzięki, bracie!"
113,1,Tom I,Rozdział II,Slang,Slang 1,Bucks,Dolce,It cost me fifty bucks.,Kosztowało mnie pięćdziesiąt dolców.
114,1,Tom I,Rozdział II,Slang,Slang 1,Chill out,Wyluzować,Just chill out for a bit.,Po prostu wyluzuj się na chwilę.
115,1,Tom I,Rozdział II,Slang,Slang 1,Dude,"Stary, ziomuś","Dude, that's crazy!","Stary, to szaleństwo!"
116,1,Tom I,Rozdział II,Slang,Slang 1,Honey,Kochanie,"Honey, dinner's ready.","Kochanie, obiad gotowy."
117,1,Tom I,Rozdział II,Slang,Slang 1,Mate,Bracie; chłopie,"Cheers, mate!","Dzięki, bracie!"
118,1,Tom I,Rozdział II,Slang,Slang 1,Sup,Jak jest?,"Sup, how's it going?","Jak jest, co słychać?"
119,1,Tom I,Rozdział II,Slang,Slang 1,Rule,Być świetnym; rządzić,Their team really rules.,Ich drużyna naprawdę rządzi.
120,1,Tom I,Rozdział II,Slang,Slang 1,Have a blast,Bawić się zarąbiście,We had a blast at the party.,Bawiliśmy się zarąbiście na imprezie.
121,1,Tom I,Rozdział II,Slang,Slang 2,Slay,Rozwalać system; wymiatać,You totally slayed that presentation.,Totalnie rozwaliłeś tę prezentację.
122,1,Tom I,Rozdział II,Slang,Slang 2,Gangsta,Twardziel; gangster,He acts real gangsta.,On zachowuje się jak prawdziwy twardziel.
123,1,Tom I,Rozdział II,Slang,Slang 2,Goat,Najlepszy ze wszystkich,He's the goat of basketball.,On jest najlepszym koszykarzem wszech czasów.
124,1,Tom I,Rozdział II,Slang,Slang 2,Loaded,Dziany,Her family is loaded.,Jej rodzina jest nadziana.
125,1,Tom I,Rozdział II,Slang,Slang 2,Nail it,Pozamiatać (np. Wynikiem na teście),You totally nailed it.,Totalnie to pozamiatałeś.
126,1,Tom I,Rozdział II,Slang,Slang 2,Raw,Zacny; rasowy,"He's raw, no doubt.","On jest niesamowity, bez wątpienia."
127,1,Tom I,Rozdział II,Slang,Slang 2,Rep,Reputacja; szacun,He has a good rep in the hood.,On ma dobrą reputację w dzielnicy.
128,1,Tom I,Rozdział II,Slang,Slang 2,Ride,Furka,Nice ride you got there.,"Niezła furka, którą masz."
129,1,Tom I,Rozdział II,Slang,Slang 2,Score,Zdobyć coś fajnego; wyhaczyć,I scored front row tickets.,Zdobyłem bilety w pierwszym rzędzie.
130,1,Tom I,Rozdział II,Slang,Slang 2,Wheels,Fura ,Check out my new wheels.,Zobacz moją nową furę.
131,1,Tom I,Rozdział II,Czasowniki,Każdy to robi,Feel,Czuć się,I feel great today.,Czuję się dziś świetnie.
132,1,Tom I,Rozdział II,Czasowniki,Każdy to robi,Have,Mieć,I have two brothers.,Mam dwóch braci.
133,1,Tom I,Rozdział II,Czasowniki,Każdy to robi,Hear,Słyszeć,Did you hear that noise?,Słyszałeś ten hałas?
134,1,Tom I,Rozdział II,Czasowniki,Każdy to robi,Listen,Słuchać,Listen to your body.,Słuchaj swojego ciała.
135,1,Tom I,Rozdział II,Czasowniki,Każdy to robi,Sleep,Spać,Babies sleep a lot.,Niemowlęta dużo śpią.
136,1,Tom I,Rozdział II,Czasowniki,Każdy to robi,Talk,Rozmawiać; gadać,We need to talk.,Musimy porozmawiać.
137,1,Tom I,Rozdział II,Czasowniki,Każdy to robi,Grow,Rosnąć,Kids grow so fast.,Dzieci rosną tak szybko.
138,1,Tom I,Rozdział II,Czasowniki,Każdy to robi,Pee,Sikać,The dog needs to pee.,Pies musi się wysiusiać.
139,1,Tom I,Rozdział II,Czasowniki,Każdy to robi,Poop,Robić kupę,The baby needs to poop.,Dziecko musi zrobić kupę.
140,1,Tom I,Rozdział II,Czasowniki,Każdy to robi,Smell,Wąchać;,Smell this flower.,Powąchaj ten kwiat.
141,1,Tom I,Rozdział II,Zabronione,Romantyczne,Angel eyes,Aniołku,"Good morning, angel eyes.","Dzień dobry, aniołku."
142,1,Tom I,Rozdział II,Zabronione,Romantyczne,Better half,Lepsza połowa,Meet my better half.,Poznaj moją lepszą połowę.
143,1,Tom I,Rozdział II,Zabronione,Romantyczne,Cuddle bug,Robaczku,"Come here, cuddle bug.","Chodź tu, robaczku."
144,1,Tom I,Rozdział II,Zabronione,Romantyczne,Honey bunny,Króliczku,"I missed you, honey bunny.","Tęskniłem za tobą, króliczku."
145,1,Tom I,Rozdział II,Zabronione,Romantyczne,Kitty cat,Kotku,"Goodnight, my kitty cat.","Dobranoc, moje kotku."
146,1,Tom I,Rozdział II,Zabronione,Romantyczne,Lover girl,Misiaczek,You're my lover girl.,Jesteś moją ukochaną.
147,1,Tom I,Rozdział II,Zabronione,Romantyczne,Lucky charm,Moje szczęście,You're my lucky charm.,Jesteś moim szczęściem.
148,1,Tom I,Rozdział II,Zabronione,Romantyczne,My queen,Królowo moja,"Good morning, my queen.","Dzień dobry, królowo moja."
149,1,Tom I,Rozdział II,Zabronione,Romantyczne,Precious,Skarbeńku,"You mean so much, precious.","Tyle znaczysz, skarbeńku."
150,1,Tom I,Rozdział II,Zabronione,Romantyczne,Sunshine,Słoneczko,There's my sunshine.,Oto moje słoneczko.
151,1,Tom I,Rozdział II,Czasowniki,Komunikacja,Answer,Odpowiadać,Please answer my question.,"Proszę, odpowiedz na moje pytanie."
152,1,Tom I,Rozdział II,Czasowniki,Komunikacja,Ask,Pytać; prosić,You can always ask me.,Zawsze możesz mnie zapytać.
153,1,Tom I,Rozdział II,Czasowniki,Komunikacja,Call,Dzwonić do kogoś,Call me when you land.,"Zadzwoń, jak wylądujesz."
154,1,Tom I,Rozdział II,Czasowniki,Komunikacja,Contact,Kontaktować się,Contact me if needed.,Skontaktuj się ze mną w razie potrzeby.
155,1,Tom I,Rozdział II,Czasowniki,Komunikacja,Inform,Informować,Please inform the team.,Proszę poinformuj zespół.
156,1,Tom I,Rozdział II,Czasowniki,Komunikacja,Say,Powiedzieć,Say something nice.,Powiedz coś miłego.
157,1,Tom I,Rozdział II,Czasowniki,Komunikacja,Show,Pokazywać,Show me how it works.,"Pokaż mi, jak to działa."
158,1,Tom I,Rozdział II,Czasowniki,Komunikacja,Smile,Uśmiechać się,She always smiles at me.,Ona zawsze się do mnie uśmiecha.
159,1,Tom I,Rozdział II,Czasowniki,Komunikacja,Tell,Powiedzieć (komuś); opowiadać (komuś),Tell me the truth.,Powiedz mi prawdę.
160,1,Tom I,Rozdział II,Czasowniki,Komunikacja,Thank,Dziękować,I want to thank you.,Chcę ci podziękować.
161,1,Tom I,Rozdział II,Przysłówki,Od świtu do zmierzchu,After,Po (np. po śniadaniu),Let's meet after work.,Spotkajmy się po pracy.
162,1,Tom I,Rozdział II,Przysłówki,Od świtu do zmierzchu,Before,Przed,Call me before you leave.,"Zadzwoń, zanim wyjdziesz."
163,1,Tom I,Rozdział II,Przysłówki,Od świtu do zmierzchu,Early,Wcześnie,I woke up early today.,Obudziłem się dziś wcześnie.
164,1,Tom I,Rozdział II,Przysłówki,Od świtu do zmierzchu,From,Od (godziny),I work from nine.,Pracuję od dziewiątej.
165,1,Tom I,Rozdział II,Przysłówki,Od świtu do zmierzchu,Late,Późno,Don't stay up too late.,Nie siedź za długo do późna.
166,1,Tom I,Rozdział II,Przysłówki,Od świtu do zmierzchu,Today,Dzisiaj,What's the plan today?,Jaki jest dzisiaj plan?
167,1,Tom I,Rozdział II,Przysłówki,Od świtu do zmierzchu,Tomorrow,Jutro,See you tomorrow then.,To do zobaczenia jutro.
168,1,Tom I,Rozdział II,Przysłówki,Od świtu do zmierzchu,Tonight,Dziś wieczorem; dzisiejszej nocy,Are you free tonight?,Jesteś wolny dziś wieczorem?
169,1,Tom I,Rozdział II,Przysłówki,Od świtu do zmierzchu,Until,Do (kiedy),I'll wait until noon.,Poczekam do południa.
170,1,Tom I,Rozdział II,Przysłówki,Od świtu do zmierzchu,Yesterday,Wczoraj,I called you yesterday.,Dzwoniłem do ciebie wczoraj.
171,1,Tom I,Rozdział II,Rzeczowniki,Miasto,Bank,Bank,I need to visit the bank.,Muszę odwiedzić bank.
172,1,Tom I,Rozdział II,Rzeczowniki,Miasto,Bar,Bar,Let's grab a drink at the bar.,Chodźmy na drinka do baru.
173,1,Tom I,Rozdział II,Rzeczowniki,Miasto,Downtown,Centrum miasta; śródmieście,We live downtown.,Mieszkamy w centrum.
174,1,Tom I,Rozdział II,Rzeczowniki,Miasto,Mall,Galeria handlowa,We spent the day at the mall.,Spędziliśmy dzień w galerii handlowej.
175,1,Tom I,Rozdział II,Rzeczowniki,Miasto,Hotel,Hotel,Our hotel is nearby.,Nasz hotel jest blisko.
176,1,Tom I,Rozdział II,Rzeczowniki,Miasto,Park,Park,Let's walk in the park.,Chodźmy na spacer do parku.
177,1,Tom I,Rozdział II,Rzeczowniki,Miasto,Police station,Posterunek policji,The police station is close.,Posterunek policji jest blisko.
178,1,Tom I,Rozdział II,Rzeczowniki,Miasto,Shop,Sklepik,This little shop is charming.,Ten sklepik jest uroczy.
179,1,Tom I,Rozdział II,Rzeczowniki,Miasto,Store,Sklep (duży),The store closes at nine.,Sklep zamyka się o dziewiątej.
180,1,Tom I,Rozdział II,Rzeczowniki,Miasto,Hospital,Szpital,She works at the hospital.,Ona pracuje w szpitalu.
181,1,Tom I,Rozdział II,Przymiotniki,Przymiotniki 1,Ready,Gotowy,Are you ready to go?,Jesteś gotowy do wyjścia?
182,1,Tom I,Rozdział II,Przymiotniki,Przymiotniki 1,Fine,W porządku,Everything is fine.,Wszystko jest w porządku.
183,1,Tom I,Rozdział II,Przymiotniki,Przymiotniki 1,Happy,Wesoły,I'm really happy today.,Jestem dziś naprawdę szczęśliwy.
184,1,Tom I,Rozdział II,Przymiotniki,Przymiotniki 1,Safe,Bezpieczny,"Drive safe, please.","Jedź bezpiecznie, proszę."
185,1,Tom I,Rozdział II,Przymiotniki,Przymiotniki 1,Difficult,Trudny,This exam was difficult.,Ten egzamin był trudny.
186,1,Tom I,Rozdział II,Przymiotniki,Przymiotniki 1,Important,Ważny,This decision is important.,Ta decyzja jest ważna.
187,1,Tom I,Rozdział II,Przymiotniki,Przymiotniki 1,Good,Dobry,This coffee is really good.,Ta kawa jest naprawdę dobra.
188,1,Tom I,Rozdział II,Przymiotniki,Przymiotniki 1,Easy,Łatwy ,This task looks easy.,To zadanie wygląda łatwo.
189,1,Tom I,Rozdział II,Przymiotniki,Przymiotniki 1,Favorite,Ulubiony,What's your favorite color?,Jaki jest twój ulubiony kolor?
190,1,Tom I,Rozdział II,Przymiotniki,Przymiotniki 1,Bad,Zły,That was a bad idea.,To był zły pomysł.
191,1,Tom I,Rozdział II,Czasowniki,Czasowniki 3,Cry,Płakać,"Don't cry, it's okay.","Nie płacz, wszystko dobrze."
192,1,Tom I,Rozdział II,Czasowniki,Czasowniki 3,Drink,Pić,Drink plenty of water.,Pij dużo wody.
193,1,Tom I,Rozdział II,Czasowniki,Czasowniki 3,Eat,Jeść,Let's eat something.,Zjedzmy coś.
194,1,Tom I,Rozdział II,Czasowniki,Czasowniki 3,Help,Pomagać,Can you help me?,Możesz mi pomóc?
195,1,Tom I,Rozdział II,Czasowniki,Czasowniki 3,Live,Żyć,We live near the park.,Mieszkamy blisko parku.
196,1,Tom I,Rozdział II,Czasowniki,Czasowniki 3,Meet,Spotykać,Nice to meet you.,Miło cię poznać.
197,1,Tom I,Rozdział II,Czasowniki,Czasowniki 3,Prepare,Przygotowywać,I need to prepare dinner.,Muszę przygotować obiad.
198,1,Tom I,Rozdział II,Czasowniki,Czasowniki 3,Use,Używać,You can use my phone.,Możesz użyć mojego telefonu.
199,1,Tom I,Rozdział II,Czasowniki,Czasowniki 3,Wash,Myć,Wash your hands first.,Najpierw umyj ręce.
200,1,Tom I,Rozdział II,Czasowniki,Czasowniki 3,Work,Działać (o rzeczy),How does this work?,Jak to działa?
201,1,Tom I,Rozdział III,Rzeczowniki,Człowiek,Lady,Dama; pani,That lady seems friendly.,Ta dama wydaje się miła.
202,1,Tom I,Rozdział III,Rzeczowniki,Człowiek,Adult,Dorosły ,Only adults are allowed.,Wstęp tylko dla dorosłych.
203,1,Tom I,Rozdział III,Rzeczowniki,Człowiek,Girl,Dziewczyna,That girl is my cousin.,Ta dziewczyna to moja kuzynka.
204,1,Tom I,Rozdział III,Rzeczowniki,Człowiek,Gentleman,Dżentelmen,He's a real gentleman.,On jest prawdziwym dżentelmenem.
205,1,Tom I,Rozdział III,Rzeczowniki,Człowiek,Guy,Facet; koleś,That guy seems nice.,Ten facet wydaje się miły.
206,1,Tom I,Rozdział III,Rzeczowniki,Człowiek,Man,Mężczyzna; człowiek,That man helped me.,Ten mężczyzna mi pomógł.
