packId,packName,category,wordId,english,polish,sentenceEn,sentencePl
t1-p002,Miasto,Rzeczowniki,t1-p002-007,Parking lot,Parking,The parking lot is full.,Parking jest pełny.
t1-p002,Miasto,Rzeczowniki,t1-p002-008,Restaurant,Restauracja,Let's try that new restaurant.,Wypróbujmy tę nową restaurację.
t1-p002,Miasto,Rzeczowniki,t1-p002-009,School,Szkoła,My kids walk to school.,Moje dzieci chodzą do szkoły pieszo.
t1-p002,Miasto,Rzeczowniki,t1-p002-010,Street,Ulica,Cross the street carefully.,Przejdź przez ulicę ostrożnie.
t1-p003,"Dzięki, to miłe",Przymiotniki,t1-p003-001,Intelligent,Inteligentny,She's incredibly intelligent.,Ona jest niesamowicie inteligentna.
t1-p003,"Dzięki, to miłe",Przymiotniki,t1-p003-002,Nice,Miły,That's really nice of you.,To bardzo miłe z twojej strony.
t1-p003,"Dzięki, to miłe",Przymiotniki,t1-p003-003,Funny,Śmieszny,You're actually really funny.,Jesteś naprawdę zabawny.
t1-p003,"Dzięki, to miłe",Przymiotniki,t1-p003-004,New,Nowy,I bought a new phone.,Kupiłem nowy telefon.
t1-p003,"Dzięki, to miłe",Przymiotniki,t1-p003-005,Best,Najlepszy,You're the best friend ever.,Jesteś najlepszym przyjacielem.
t1-p003,"Dzięki, to miłe",Przymiotniki,t1-p003-006,Awesome,Świetny,This trip was awesome.,Ta podróż była świetna.
t1-p003,"Dzięki, to miłe",Przymiotniki,t1-p003-007,Pretty,Śliczny,What a pretty dress.,Jaka śliczna sukienka.
t1-p003,"Dzięki, to miłe",Przymiotniki,t1-p003-008,Young,Młody,She looks so young.,Ona wygląda tak młodo.
t1-p003,"Dzięki, to miłe",Przymiotniki,t1-p003-009,Beautiful,Piękny,You look beautiful tonight.,Wyglądasz dziś pięknie.
t1-p003,"Dzięki, to miłe",Przymiotniki,t1-p003-010,Hot,Gorący,It's really hot outside.,Na zewnątrz jest naprawdę gorąco.
t1-p004,Napoje,Rzeczowniki,t1-p004-001,Tea,Herbata,Would you like some tea?,Chciałbyś herbaty?
t1-p004,Napoje,Rzeczowniki,t1-p004-002,Coffee,Kawa,I need my morning coffee.,Potrzebuję porannej kawy.
t1-p004,Napoje,Rzeczowniki,t1-p004-003,Latte,Kawa z mlekiem,I'll order a latte.,Zamówię kawę z mlekiem.
t1-p004,Napoje,Rzeczowniki,t1-p004-004,Milk,Mleko,Add a splash of milk.,Dodaj odrobinę mleka.
t1-p004,Napoje,Rzeczowniki,t1-p004-005,Drink,Napój,What would you like to drink?,Co chciałbyś do picia?
t1-p004,Napoje,Rzeczowniki,t1-p004-006,Soda,Napój gazowany,I don't drink soda anymore.,Nie piję już napojów gazowanych.
t1-p004,Napoje,Rzeczowniki,t1-p004-007,Juice,Sok,"Fresh orange juice, please.",Poproszę świeży sok pomarańczowy.
t1-p004,Napoje,Rzeczowniki,t1-p004-008,Wine,Wino,Would you like some wine?,Chciałbyś trochę wina?
t1-p004,Napoje,Rzeczowniki,t1-p004-009,Water,Woda,Can I get some water?,Mogę prosić o wodę?
t1-p004,Napoje,Rzeczowniki,t1-p004-010,Mineral water,Woda mineralna,Still or sparkling mineral water?,Woda mineralna gazowana czy niegazowana?
t1-p005,Ruch I bezczynność,Czasowniki,t1-p005-001,Come,Przychodzić,Come here for a second.,Chodź tu na chwilę.
t1-p005,Ruch I bezczynność,Czasowniki,t1-p005-002,Drive,Prowadzić samochód,I drive to work daily.,Codziennie jeżdżę do pracy samochodem.
t1-p005,Ruch I bezczynność,Czasowniki,t1-p005-003,Go,Iść,Let's go outside.,Chodźmy na zewnątrz.
t1-p005,Ruch I bezczynność,Czasowniki,t1-p005-004,Jump,Skakać,The kids love to jump.,Dzieci uwielbiają skakać.
t1-p005,Ruch I bezczynność,Czasowniki,t1-p005-005,Move,Ruszać,"Don't move, stay still.","Nie ruszaj się, stój spokojnie."
t1-p005,Ruch I bezczynność,Czasowniki,t1-p005-006,Run,Biegać,I run every morning.,Biegam każdego ranka.
t1-p005,Ruch I bezczynność,Czasowniki,t1-p005-007,Sit,Siedzieć,Please sit down.,Proszę usiądź.
t1-p005,Ruch I bezczynność,Czasowniki,t1-p005-008,Stop,Zatrzymywać,Stop right there!,Zatrzymaj się tam!
t1-p005,Ruch I bezczynność,Czasowniki,t1-p005-009,Walk,Iść pieszo,We walked for hours.,Szliśmy godzinami.
t1-p005,Ruch I bezczynność,Czasowniki,t1-p005-010,Start,Zaczynać,Let's start the meeting.,Zacznijmy spotkanie.
t1-p006,Ubrania,Rzeczowniki,t1-p006-001,Underwear,Bielizna,Pack extra underwear.,Spakuj zapasową bieliznę.
t1-p006,Ubrania,Rzeczowniki,t1-p006-002,Shoes,Buty,Take off your shoes.,Zdejmij buty.
t1-p006,Ubrania,Rzeczowniki,t1-p006-003,Jeans,Dżinsy,These jeans fit perfectly.,Te dżinsy pasują idealnie.
t1-p006,Ubrania,Rzeczowniki,t1-p006-004,Shirt,Koszula,Tuck in your shirt.,Wpuść koszulę w spodnie.
t1-p006,Ubrania,Rzeczowniki,t1-p006-005,Glasses,Okulary,I need my glasses.,Potrzebuję moich okularów.
t1-p006,Ubrania,Rzeczowniki,t1-p006-006,Socks,Skarpetki,Put on warm socks.,Załóż ciepłe skarpetki.
t1-p006,Ubrania,Rzeczowniki,t1-p006-007,Pants,Spodnie,These pants are too tight.,Te spodnie są za ciasne.
t1-p006,Ubrania,Rzeczowniki,t1-p006-008,T-shirt,T-shirt,I bought a plain t-shirt.,Kupiłem zwykły t-shirt.
t1-p006,Ubrania,Rzeczowniki,t1-p006-009,Bag,Torba,"Grab your bag, let's go.","Weź swoją torbę, chodźmy."
t1-p006,Ubrania,Rzeczowniki,t1-p006-010,Clothes,Ubrania,Fold the clean clothes.,Poskładaj czyste ubrania.
t1-p007,Podróże,Rzeczowniki,t1-p007-001,Baggage,Bagaż,Where's the baggage claim?,Gdzie jest odbiór bagażu?
t1-p007,Podróże,Rzeczowniki,t1-p007-002,Luggage,Bagaż,My luggage got lost.,Mój bagaż się zgubił.
t1-p007,Podróże,Rzeczowniki,t1-p007-003,Ticket,Bilet,Show me your ticket.,Pokaż mi swój bilet.
t1-p007,Podróże,Rzeczowniki,t1-p007-004,Guest,Gość,We have a guest tonight.,Mamy dziś gościa.
t1-p007,Podróże,Rzeczowniki,t1-p007-005,Map,Mapa,Let's check the map.,Sprawdźmy mapę.
t1-p007,Podróże,Rzeczowniki,t1-p007-006,Passport,Paszport,Don't forget your passport.,Nie zapomnij paszportu.
t1-p007,Podróże,Rzeczowniki,t1-p007-007,Reservation,Rezerwacja,I made a reservation.,Zrobiłem rezerwację.
t1-p007,Podróże,Rzeczowniki,t1-p007-008,Tourist,Turysta,I felt like a tourist.,Czułem się jak turysta.
t1-p007,Podróże,Rzeczowniki,t1-p007-009,Holiday,Wakacje,We're planning a holiday.,Planujemy wakacje.
t1-p007,Podróże,Rzeczowniki,t1-p007-010,Vacation,Wakacje,I need a vacation badly.,Bardzo potrzebuję wakacji.
t1-p008,Witaj w świecie skrótów,Skróty,t1-p008-001,ASAP,"Tak szybko, jak to możliwe",Send it to me ASAP.,Wyślij mi to jak najszybciej.
t1-p008,Witaj w świecie skrótów,Skróty,t1-p008-002,BTW,Przy okazji,"BTW, I love your haircut.","Przy okazji, uwielbiam twoją fryzurę."
t1-p008,Witaj w świecie skrótów,Skróty,t1-p008-003,CU,Do zobaczenia,CU tomorrow!,Do zobaczenia jutro!
t1-p008,Witaj w świecie skrótów,Skróty,t1-p008-004,FYI,Do twojej wiadomości,"FYI, the meeting moved.","Do twojej wiadomości, spotkanie się przesunęło."
t1-p008,Witaj w świecie skrótów,Skróty,t1-p008-005,K,Okej,"K, see you there.","Okej, do zobaczenia tam."
t1-p008,Witaj w świecie skrótów,Skróty,t1-p008-006,OMG,O mój boże,"OMG, I can't believe it!","O mój Boże, nie mogę w to uwierzyć!"
t1-p008,Witaj w świecie skrótów,Skróty,t1-p008-007,PLZ,Plis,PLZ answer my message.,"Proszę, odpowiedz na moją wiadomość."
t1-p008,Witaj w świecie skrótów,Skróty,t1-p008-008,THX,Dzięks,THX for the help!,Dzięki za pomoc!
t1-p008,Witaj w świecie skrótów,Skróty,t1-p008-009,LOL,Śmiać się na głos,"LOL, that's hilarious.","Pęknę ze śmiechu, to jest zabawne."
t1-p008,Witaj w świecie skrótów,Skróty,t1-p008-010,XOXO,Buziaki i uściski,"See you soon, XOXO.","Do zobaczenia wkrótce, buziaki."
t1-p009,Mile widziane,Rzeczowniki,t1-p009-001,Ambition,Ambicja,I admire your ambition.,Podziwiam twoją ambicję.
t1-p009,Mile widziane,Rzeczowniki,t1-p009-002,Humor,Humor,He has a great sense of humor.,On ma świetne poczucie humoru.
t1-p009,Mile widziane,Rzeczowniki,t1-p009-003,Love,Miłość,I love my family.,Kocham moją rodzinę.
t1-p009,Mile widziane,Rzeczowniki,t1-p009-004,Hope,Nadzieja,Never lose hope.,Nigdy nie trać nadziei.
t1-p009,Mile widziane,Rzeczowniki,t1-p009-005,Friendship,Przyjaźń,Our friendship means a lot.,Nasza przyjaźń wiele znaczy.
t1-p009,Mile widziane,Rzeczowniki,t1-p009-006,Respect,Szacunek,Treat others with respect.,Traktuj innych z szacunkiem.
t1-p009,Mile widziane,Rzeczowniki,t1-p009-007,Luck,Szczęście,Good luck tomorrow!,Powodzenia jutro!
t1-p009,Mile widziane,Rzeczowniki,t1-p009-008,Happiness,Szczęście,Money can't buy happiness.,Pieniądze nie kupią szczęścia.
t1-p009,Mile widziane,Rzeczowniki,t1-p009-009,Smile,Uśmiech,She has a warm smile.,Ona ma ciepły uśmiech.
t1-p009,Mile widziane,Rzeczowniki,t1-p009-010,Fun,Zabawa,We had so much fun.,Świetnie się bawiliśmy.
t1-p010,Biznes,Czasowniki,t1-p010-001,Change,Zmieniać,I need to change my plans.,Muszę zmienić swoje plany.
t1-p010,Biznes,Czasowniki,t1-p010-002,Cost,Kosztować,How much does it cost?,Ile to kosztuje?
t1-p010,Biznes,Czasowniki,t1-p010-003,Earn,Zarabiać,I earn a decent salary.,Zarabiam przyzwoitą pensję.
t1-p010,Biznes,Czasowniki,t1-p010-004,Buy,Kupować,I want to buy a car.,Chcę kupić samochód.
t1-p010,Biznes,Czasowniki,t1-p010-005,Finish,Skończyć,Let's finish this project.,Skończmy ten projekt.
t1-p010,Biznes,Czasowniki,t1-p010-006,Pay,Płacić,I'll pay for dinner.,Zapłacę za kolację.
t1-p010,Biznes,Czasowniki,t1-p010-007,Plan,Planować,We plan to move soon.,Planujemy się wkrótce przeprowadzić.
t1-p010,Biznes,Czasowniki,t1-p010-008,Spend,Wydawać pieniądze,Don't spend it all.,Nie wydawaj tego wszystkiego.
t1-p010,Biznes,Czasowniki,t1-p010-009,Wait,Czekać,Wait for me outside.,Poczekaj na mnie na zewnątrz.
t1-p010,Biznes,Czasowniki,t1-p010-010,Work,Pracować,I work from home.,Pracuję z domu.
t1-p011,Czasowniki 2,Czasowniki,t1-p011-001,Believe,Wierzyć,I believe in you.,Wierzę w ciebie.
t1-p011,Czasowniki 2,Czasowniki,t1-p011-002,Check,Sprawdzać,Check your email.,Sprawdź swoją pocztę.
t1-p011,Czasowniki 2,Czasowniki,t1-p011-003,Decide,Decydować,You need to decide now.,Musisz teraz zdecydować.
t1-p011,Czasowniki 2,Czasowniki,t1-p011-004,Hope,Mieć nadzieję,I hope you're okay.,"Mam nadzieję, że wszystko w porządku."
t1-p011,Czasowniki 2,Czasowniki,t1-p011-005,Know,Wiedzieć,I know exactly how you feel.,"Wiem dokładnie, jak się czujesz."
t1-p011,Czasowniki 2,Czasowniki,t1-p011-006,Like,Lubić,I really like this song.,Naprawdę lubię tę piosenkę.
t1-p011,Czasowniki 2,Czasowniki,t1-p011-007,Love,Kochać,I love spending time with you.,Uwielbiam spędzać z tobą czas.
t1-p011,Czasowniki 2,Czasowniki,t1-p011-008,Think,Myśleć,What do you think?,Co myślisz?
t1-p011,Czasowniki 2,Czasowniki,t1-p011-009,Understand,Rozumieć,I don't understand this.,Nie rozumiem tego.
t1-p011,Czasowniki 2,Czasowniki,t1-p011-010,Want,Chcieć,What do you want for dinner?,Co chcesz na obiad?
t1-p012,Slang 1,Slang,t1-p012-001,Badass,Kozak,That was a badass move.,To był odjazdowy ruch.
t1-p012,Slang 1,Slang,t1-p012-002,Bro,Bratku,"Thanks, bro!","Dzięki, bracie!"
t1-p012,Slang 1,Slang,t1-p012-003,Bucks,Dolce,It cost me fifty bucks.,Kosztowało mnie pięćdziesiąt dolców.
t1-p012,Slang 1,Slang,t1-p012-004,Chill out,Wyluzować,Just chill out for a bit.,Po prostu wyluzuj się na chwilę.
t1-p012,Slang 1,Slang,t1-p012-005,Dude,"Stary, ziomuś","Dude, that's crazy!","Stary, to szaleństwo!"
t1-p012,Slang 1,Slang,t1-p012-006,Honey,Kochanie,"Honey, dinner's ready.","Kochanie, obiad gotowy."
t1-p012,Slang 1,Slang,t1-p012-007,Mate,Bracie,"Cheers, mate!","Dzięki, bracie!"
t1-p012,Slang 1,Slang,t1-p012-008,Sup,Jak jest?,"Sup, how's it going?","Jak jest, co słychać?"
t1-p012,Slang 1,Slang,t1-p012-009,Rule,Rządzić,Their team really rules.,Ich drużyna naprawdę rządzi.
t1-p012,Slang 1,Slang,t1-p012-010,Have a blast,Bawić się zarąbiście,We had a blast at the party.,Bawiliśmy się zarąbiście na imprezie.
t1-p013,Slang 2,Slang,t1-p013-001,Slay,Rozwalać,You totally slayed that presentation.,Totalnie rozwaliłeś tę prezentację.
t1-p013,Slang 2,Slang,t1-p013-002,Gangsta,Twardziel,He acts real gangsta.,On zachowuje się jak prawdziwy twardziel.
t1-p013,Slang 2,Slang,t1-p013-003,Goat,Najlepszy ze wszystkich,He's the goat of basketball.,On jest najlepszym koszykarzem wszech czasów.
t1-p013,Slang 2,Slang,t1-p013-004,Loaded,Dziany,Her family is loaded.,Jej rodzina jest nadziana.
t1-p013,Slang 2,Slang,t1-p013-005,Nail it,Pozamiatać,You totally nailed it.,Totalnie to pozamiatałeś.
t1-p013,Slang 2,Slang,t1-p013-006,Raw,Niesamowity,"He's raw, no doubt.","On jest niesamowity, bez wątpienia."
t1-p013,Slang 2,Slang,t1-p013-007,Rep,Reputacja,He has a good rep in the hood.,On ma dobrą reputację w dzielnicy.
t1-p013,Slang 2,Slang,t1-p013-008,Ride,Furka,Nice ride you got there.,"Niezła furka, którą masz."
t1-p013,Slang 2,Slang,t1-p013-009,Score,Zdobyć coś fajnego,I scored front row tickets.,Zdobyłem bilety w pierwszym rzędzie.
t1-p013,Slang 2,Slang,t1-p013-010,Wheels,Fura,Check out my new wheels.,Zobacz moją nową furę.
t1-p014,Każdy to robi,Czasowniki,t1-p014-001,Feel,Czuć się,I feel great today.,Czuję się dziś świetnie.
t1-p014,Każdy to robi,Czasowniki,t1-p014-002,Have,Mieć,I have two brothers.,Mam dwóch braci.
t1-p014,Każdy to robi,Czasowniki,t1-p014-003,Hear,Słyszeć,Did you hear that noise?,Słyszałeś ten hałas?
t1-p014,Każdy to robi,Czasowniki,t1-p014-004,Listen,Słuchać,Listen to your body.,Słuchaj swojego ciała.
t1-p014,Każdy to robi,Czasowniki,t1-p014-005,Sleep,Spać,Babies sleep a lot.,Niemowlęta dużo śpią.
t1-p014,Każdy to robi,Czasowniki,t1-p014-006,Talk,Rozmawiać,We need to talk.,Musimy porozmawiać.
t1-p014,Każdy to robi,Czasowniki,t1-p014-007,Grow,Rosnąć,Kids grow so fast.,Dzieci rosną tak szybko.
t1-p014,Każdy to robi,Czasowniki,t1-p014-008,Pee,Sikać,The dog needs to pee.,Pies musi się wysiusiać.
t1-p014,Każdy to robi,Czasowniki,t1-p014-009,Poop,Robić kupę,The baby needs to poop.,Dziecko musi zrobić kupę.
t1-p014,Każdy to robi,Czasowniki,t1-p014-010,Smell,Wąchać,Smell this flower.,Powąchaj ten kwiat.
t1-p015,Romantyczne,Slang,t1-p015-001,Angel eyes,Aniołku,"Good morning, angel eyes.","Dzień dobry, aniołku."
t1-p015,Romantyczne,Slang,t1-p015-002,Better half,Lepsza połowa,Meet my better half.,Poznaj moją lepszą połowę.
t1-p015,Romantyczne,Slang,t1-p015-003,Cuddle bug,Robaczku,"Come here, cuddle bug.","Chodź tu, robaczku."
t1-p015,Romantyczne,Slang,t1-p015-004,Honey bunny,Króliczku,"I missed you, honey bunny.","Tęskniłem za tobą, króliczku."
t1-p015,Romantyczne,Slang,t1-p015-005,Kitty cat,Kotku,"Goodnight, my kitty cat.","Dobranoc, moje kotku."
t1-p015,Romantyczne,Slang,t1-p015-006,Lover girl,Ukochana,You're my lover girl.,Jesteś moją ukochaną.
t1-p015,Romantyczne,Slang,t1-p015-007,Lucky charm,Moje szczęście,You're my lucky charm.,Jesteś moim szczęściem.
t1-p015,Romantyczne,Slang,t1-p015-008,My queen,Królowo moja,"Good morning, my queen.","Dzień dobry, królowo moja."
t1-p015,Romantyczne,Slang,t1-p015-009,Precious,Skarbeńku,"You mean so much, precious.","Tyle znaczysz, skarbeńku."
t1-p015,Romantyczne,Slang,t1-p015-010,Sunshine,Słoneczko,There's my sunshine.,Oto moje słoneczko.
t1-p016,Komunikacja,Czasowniki,t1-p016-001,Answer,Odpowiadać,Please answer my question.,"Proszę, odpowiedz na moje pytanie."
t1-p016,Komunikacja,Czasowniki,t1-p016-002,Ask,Pytać,You can always ask me.,Zawsze możesz mnie zapytać.
t1-p016,Komunikacja,Czasowniki,t1-p016-003,Call,Dzwonić do kogoś,Call me when you land.,"Zadzwoń, jak wylądujesz."
t1-p016,Komunikacja,Czasowniki,t1-p016-004,Contact,Kontaktować się,Contact me if needed.,Skontaktuj się ze mną w razie potrzeby.
t1-p016,Komunikacja,Czasowniki,t1-p016-005,Inform,Informować,Please inform the team.,Proszę poinformuj zespół.
t1-p016,Komunikacja,Czasowniki,t1-p016-006,Say,Powiedzieć,Say something nice.,Powiedz coś miłego.
t1-p016,Komunikacja,Czasowniki,t1-p016-007,Show,Pokazywać,Show me how it works.,"Pokaż mi, jak to działa."
t1-p016,Komunikacja,Czasowniki,t1-p016-008,Smile,Uśmiechać się,She always smiles at me.,Ona zawsze się do mnie uśmiecha.
t1-p016,Komunikacja,Czasowniki,t1-p016-009,Tell,Powiedzieć,Tell me the truth.,Powiedz mi prawdę.
t1-p016,Komunikacja,Czasowniki,t1-p016-010,Thank,Dziękować,I want to thank you.,Chcę ci podziękować.
t1-p017,Od świtu do zmierzchu,Przysłówki,t1-p017-001,After,Po,Let's meet after work.,Spotkajmy się po pracy.
t1-p017,Od świtu do zmierzchu,Przysłówki,t1-p017-002,Before,Przed,Call me before you leave.,"Zadzwoń, zanim wyjdziesz."
t1-p017,Od świtu do zmierzchu,Przysłówki,t1-p017-003,Early,Wcześnie,I woke up early today.,Obudziłem się dziś wcześnie.
t1-p017,Od świtu do zmierzchu,Przysłówki,t1-p017-004,From,Od,I work from nine.,Pracuję od dziewiątej.
t1-p017,Od świtu do zmierzchu,Przysłówki,t1-p017-005,Late,Późno,Don't stay up too late.,Nie siedź za długo do późna.
t1-p017,Od świtu do zmierzchu,Przysłówki,t1-p017-006,Today,Dzisiaj,What's the plan today?,Jaki jest dzisiaj plan?
t1-p017,Od świtu do zmierzchu,Przysłówki,t1-p017-007,Tomorrow,Jutro,See you tomorrow then.,To do zobaczenia jutro.
t1-p017,Od świtu do zmierzchu,Przysłówki,t1-p017-008,Tonight,Dziś wieczorem,Are you free tonight?,Jesteś wolny dziś wieczorem?
t1-p017,Od świtu do zmierzchu,Przysłówki,t1-p017-009,Until,Do,I'll wait until noon.,Poczekam do południa.
t1-p017,Od świtu do zmierzchu,Przysłówki,t1-p017-010,Yesterday,Wczoraj,I called you yesterday.,Dzwoniłem do ciebie wczoraj.
t1-p018,Miasto,Rzeczowniki,t1-p018-001,Bank,Bank,I need to visit the bank.,Muszę odwiedzić bank.
t1-p018,Miasto,Rzeczowniki,t1-p018-002,Bar,Bar,Let's grab a drink at the bar.,Chodźmy na drinka do baru.
t1-p018,Miasto,Rzeczowniki,t1-p018-003,Downtown,Centrum miasta,We live downtown.,Mieszkamy w centrum.
t1-p018,Miasto,Rzeczowniki,t1-p018-004,Mall,Galeria handlowa,We spent the day at the mall.,Spędziliśmy dzień w galerii handlowej.
t1-p018,Miasto,Rzeczowniki,t1-p018-005,Hotel,Hotel,Our hotel is nearby.,Nasz hotel jest blisko.
t1-p018,Miasto,Rzeczowniki,t1-p018-006,Park,Park,Let's walk in the park.,Chodźmy na spacer do parku.
t1-p018,Miasto,Rzeczowniki,t1-p018-007,Police station,Posterunek policji,The police station is close.,Posterunek policji jest blisko.
t1-p018,Miasto,Rzeczowniki,t1-p018-008,Shop,Sklepik,This little shop is charming.,Ten sklepik jest uroczy.
t1-p018,Miasto,Rzeczowniki,t1-p018-009,Store,Sklep,The store closes at nine.,Sklep zamyka się o dziewiątej.
t1-p018,Miasto,Rzeczowniki,t1-p018-010,Hospital,Szpital,She works at the hospital.,Ona pracuje w szpitalu.
t1-p019,Przymiotniki 1,Przymiotniki,t1-p019-001,Ready,Gotowy,Are you ready to go?,Jesteś gotowy do wyjścia?
t1-p019,Przymiotniki 1,Przymiotniki,t1-p019-002,Fine,W porządku,Everything is fine.,Wszystko jest w porządku.
t1-p019,Przymiotniki 1,Przymiotniki,t1-p019-003,Happy,Szczęśliwy,I'm really happy today.,Jestem dziś naprawdę szczęśliwy.
t1-p019,Przymiotniki 1,Przymiotniki,t1-p019-004,Safe,Bezpieczny,"Drive safe, please.","Jedź bezpiecznie, proszę."
t1-p019,Przymiotniki 1,Przymiotniki,t1-p019-005,Difficult,Trudny,This exam was difficult.,Ten egzamin był trudny.
t1-p019,Przymiotniki 1,Przymiotniki,t1-p019-006,Important,Ważny,This decision is important.,Ta decyzja jest ważna.
t1-p019,Przymiotniki 1,Przymiotniki,t1-p019-007,Good,Dobry,This coffee is really good.,Ta kawa jest naprawdę dobra.
t1-p019,Przymiotniki 1,Przymiotniki,t1-p019-008,Easy,Łatwy,This task looks easy.,To zadanie wygląda łatwo.
t1-p019,Przymiotniki 1,Przymiotniki,t1-p019-009,Favorite,Ulubiony,What's your favorite color?,Jaki jest twój ulubiony kolor?
t1-p019,Przymiotniki 1,Przymiotniki,t1-p019-010,Bad,Zły,That was a bad idea.,To był zły pomysł.
t1-p020,Czasowniki 3,Czasowniki,t1-p020-001,Cry,Płakać,"Don't cry, it's okay.","Nie płacz, wszystko dobrze."
t1-p020,Czasowniki 3,Czasowniki,t1-p020-002,Drink,Pić,Drink plenty of water.,Pij dużo wody.
t1-p020,Czasowniki 3,Czasowniki,t1-p020-003,Eat,Jeść,Let's eat something.,Zjedzmy coś.
t1-p020,Czasowniki 3,Czasowniki,t1-p020-004,Help,Pomagać,Can you help me?,Możesz mi pomóc?
t1-p020,Czasowniki 3,Czasowniki,t1-p020-005,Live,Żyć,We live near the park.,Mieszkamy blisko parku.
t1-p020,Czasowniki 3,Czasowniki,t1-p020-006,Meet,Spotykać,Nice to meet you.,Miło cię poznać.
t1-p020,Czasowniki 3,Czasowniki,t1-p020-007,Prepare,Przygotowywać,I need to prepare dinner.,Muszę przygotować obiad.
t1-p020,Czasowniki 3,Czasowniki,t1-p020-008,Use,Używać,You can use my phone.,Możesz użyć mojego telefonu.
t1-p020,Czasowniki 3,Czasowniki,t1-p020-009,Wash,Myć,Wash your hands first.,Najpierw umyj ręce.
t1-p020,Czasowniki 3,Czasowniki,t1-p020-010,Work,Działać,How does this work?,Jak to działa?
t1-p021,Człowiek,Rzeczowniki,t1-p021-001,Lady,Dama,That lady seems friendly.,Ta dama wydaje się miła.
t1-p021,Człowiek,Rzeczowniki,t1-p021-002,Adult,Dorosły,Only adults are allowed.,Wstęp tylko dla dorosłych.
t1-p021,Człowiek,Rzeczowniki,t1-p021-003,Girl,Dziewczyna,That girl is my cousin.,Ta dziewczyna to moja kuzynka.
t1-p021,Człowiek,Rzeczowniki,t1-p021-004,Gentleman,Dżentelmen,He's a real gentleman.,On jest prawdziwym dżentelmenem.
t1-p021,Człowiek,Rzeczowniki,t1-p021-005,Guy,Facet,That guy seems nice.,Ten facet wydaje się miły.
t1-p021,Człowiek,Rzeczowniki,t1-p021-006,Man,Mężczyzna,That man helped me.,Ten mężczyzna mi pomógł.
t1-p021,Człowiek,Rzeczowniki,t1-p021-007,Last name,Nazwisko,What's your last name?,Jakie jest twoje nazwisko?
t1-p021,Człowiek,Rzeczowniki,t1-p021-008,Friend,Przyjaciel,She's my best friend.,Ona jest moją najlepszą przyjaciółką.
t1-p021,Człowiek,Rzeczowniki,t1-p021-009,Age,Wiek,Age is just a number.,Wiek to tylko liczba.
t1-p021,Człowiek,Rzeczowniki,t1-p021-010,Health,Zdrowie,Take care of your health.,Dbaj o swoje zdrowie.
t1-p022,W skali 1-10,Liczby,t1-p022-001,One,Jeden,Rate it from one to ten.,Oceń to od jednego do dziesięciu.
t1-p022,W skali 1-10,Liczby,t1-p022-002,Two,Dwa,Give me two minutes.,Daj mi dwie minuty.
t1-p022,W skali 1-10,Liczby,t1-p022-003,Three,Trzy,Count to three.,Policz do trzech.
t1-p022,W skali 1-10,Liczby,t1-p022-004,Four,Cztery,There are four of us.,Jest nas czworo.
t1-p022,W skali 1-10,Liczby,t1-p022-005,Five,Pięć,It's five o'clock.,Jest piąta.
t1-p022,W skali 1-10,Liczby,t1-p022-006,Six,Sześć,We meet at six.,Spotykamy się o szóstej.
t1-p022,W skali 1-10,Liczby,t1-p022-007,Seven,Siedem,Lucky number seven.,Szczęśliwa siódemka.
t1-p022,W skali 1-10,Liczby,t1-p022-008,Eight,Osiem,The store opens at eight.,Sklep otwiera się o ósmej.
